Degree,Major,CGPA,Employed,Experience,Skills,Certifications,IndustryPreference,Job Role Simplified,Job Role
MBA,Economics,8.16,yes,9,"R, Econometrics, Data Analysis, Python, Statistics",AWS Certified,IT,Financial Analyst,Data Analyst
MBA,Economics,6.66,no,7,"Data Analysis, R, Econometrics, Python, Statistics",PMP,IT,Financial Analyst,Data Analyst
MBA,Finance,6.95,no,9,"Financial Modeling, Excel, Risk Analysis",Six Sigma,Manufacturing,Investment Analyst,Data Analyst
MCA,Computer Science,7.15,no,4,"Java, Machine Learning, Python, C++",Data Science Certificate,Manufacturing,Data Analyst,Data Analyst
B.Tech,Computer Science,7.7,no,6,"C++, Python, SQL",Six Sigma,Finance,Software Engineer,Software Engineer
MCA,Computer Science,9,yes,2,"Python, C++",PMP,Engineer,Software Engineer,Software Engineer
M.Tech,Computer Science,5.8,no,10,"Java, Python",Six Sigma,Education,Software Engineer,Software Engineer
B.Tech,Computer Science,5.5,no,3,"Machine Learning, C++",AWS Certified,IT,Data Analyst,Data Analyst
M.Tech,Mechanical,6.89,yes,10,"MATLAB, SolidWorks, Thermodynamics",PMP,IT,Design Engineer,Software Engineer
B.Tech,Electrical,5.87,yes,8,"Embedded Systems, C, Circuit Design, MATLAB, VHDL",Six Sigma,Manufacturing,Embedded Systems Engineer,Software Engineer
B.Tech,Electrical,5.42,no,1,"Embedded Systems, C",AWS Certified,IT,Embedded Systems Engineer,Software Engineer
B.Tech,Electrical,6.14,yes,9,"MATLAB, VHDL, C",PMP,Manufacturing,Hardware Engineer,Software Engineer
M.Tech,Computer Science,9.55,no,0,"Java, C++",AWS Certified,Manufacturing,Software Engineer,Software Engineer
B.Tech,Electrical,7.62,no,9,"C, VHDL",Data Science Certificate,Finance,Hardware Engineer,Software Engineer
B.Tech,Electrical,5.55,no,7,"Embedded Systems, MATLAB",Six Sigma,Engineer,Embedded Systems Engineer,Software Engineer
MCA,Finance,9.81,yes,5,"Accounting, Risk Analysis, Financial Modeling",AWS Certified,Finance,Investment Analyst,Data Analyst
B.Tech,Computer Science,7.45,yes,3,"Machine Learning, Python",Data Science Certificate,IT,Data Analyst,Data Analyst
B.Tech,Mechanical,8.36,yes,10,"MATLAB, Thermodynamics",Data Science Certificate,Manufacturing,Mechanical Engineer,Mechanical Engineer
B.Tech,Mechanical,5.39,no,2,"AutoCAD, MATLAB, SolidWorks",PMP,Education,Design Engineer,Software Engineer
MBA,Finance,9.58,yes,0,"Accounting, Risk Analysis, Excel, SQL, Financial Modeling",PMP,Research,Investment Analyst,Data Analyst
MBA,Economics,9.67,yes,8,"Econometrics, R, Statistics, Python",Data Science Certificate,Research,Financial Analyst,Data Analyst
B.Tech,Mechanical,5.26,no,3,"Thermodynamics, MATLAB",AWS Certified,Finance,Mechanical Engineer,Mechanical Engineer
B.Tech,Computer Science,6.78,no,7,"C++, Java, SQL, Python, Machine Learning",Data Science Certificate,Research,Data Analyst,Data Analyst
M.Tech,Computer Science,8.9,no,9,"Machine Learning, Java, Python",AWS Certified,IT,Data Scientist,Data Scientist
B.Tech,Mechanical,7.85,no,8,"Thermodynamics, MATLAB",PMP,Manufacturing,Mechanical Engineer,Mechanical Engineer
B.Tech,Computer Science,5.09,yes,8,"SQL, Machine Learning, C++, Java",PMP,IT,Data Analyst,Data Analyst
MBA,Finance,8.36,no,10,"Risk Analysis, Accounting, Excel",Data Science Certificate,Manufacturing,Investment Analyst,Data Analyst
MBA,Economics,7.34,yes,0,"R, Data Analysis, Python",Six Sigma,IT,Financial Analyst,Data Analyst
